Test,item,result,spec lower,spec upper,range,to lower,to upper,% from lim,% from lim up,closest_to_spec
Delivery Force (ave),3,14.81133094,15,,-14.81133094,-0.188669065,,-1.3,,-0.013
Delivery Force (ave),4,14.80930755,15,,-14.80930755,-0.190692446,,-1.3,,-0.013
Delivery Force (ave),5,14.48017086,15,,-14.48017086,-0.519829137,,-3.5,,-0.035
Delivery Force (ave),6,14.9471223,15,,-14.9471223,-0.052877698,,-0.4,,-0.004
Delivery Force (ave),7,14.70854317,15,,-14.70854317,-0.291456835,,-1.9,,-0.019
Delivery Force (ave),8,14.68673561,15,,-14.68673561,-0.313264388,,-2.1,,-0.021
Delivery Force (ave),9,14.32486511,15,,-14.32486511,-0.675134892,,-4.5,,-0.045
Delivery Force (ave),10,14.80701439,15,,-14.80701439,-0.192985612,,-1.3,,-0.013
Delivery Force (ave),11,14.72886691,15,,-14.72886691,-0.271133094,,-1.8,,-0.018
Delivery Force (ave),12,15.04653777,15,,-15.04653777,0.04653777,,0.3,,0.003
Delivery Force (ave),13,15.46128597,15,,-15.46128597,0.461285971,,3.1,,0.031
Delivery Force (ave),14,14.4568795,15,,-14.4568795,-0.543120504,,-3.6,,-0.036
Delivery Force (ave),15,14.81038669,15,,-14.81038669,-0.189613309,,-1.3,,-0.013
Delivery Force (ave),16,14.82931655,15,,-14.82931655,-0.170683453,,-1.1,,-0.011
Delivery Force (ave),17,14.78453237,15,,-14.78453237,-0.215467626,,-1.4,,-0.014
Delivery Force (ave),18,14.99581835,15,,-14.99581835,-0.004181655,,0,,0
Delivery Force (ave),19,15.20957734,15,,-15.20957734,0.209577338,,1.4,,0.014
Delivery Force (ave),20,14.88961331,15,,-14.88961331,-0.110386691,,-0.7,,-0.007
Delivery Force (ave),21,11.98255396,15,,-11.98255396,-3.017446043,,-20.1,,-0.201
Delivery Force (ave),22,14.69811151,15,,-14.69811151,-0.301888489,,-2,,-0.02
Delivery Force (ave),23,14.57702338,15,,-14.57702338,-0.422976619,,-2.8,,-0.028
Delivery Force (ave),24,14.84860612,15,,-14.84860612,-0.151393885,,-1,,-0.01
Delivery Force (ave),25,15.19073741,15,,-15.19073741,0.19073741,,1.3,,0.013
Delivery Force (ave),26,13.16348921,15,,-13.16348921,-1.836510791,,-12.2,,-0.122
Delivery Force (ave),27,14.5379946,15,,-14.5379946,-0.462005396,,-3.1,,-0.031
Delivery Force (ave),28,15.22639388,15,,-15.22639388,0.226393885,,1.5,,0.015
Delivery Force (ave),29,14.93696043,15,,-14.93696043,-0.063039568,,-0.4,,-0.004
Delivery Force (ave),30,14.91843525,15,,-14.91843525,-0.081564748,,-0.5,,-0.005
Delivery Force (ave),31,15.20728417,15,,-15.20728417,0.207284173,,1.4,,0.014
Delivery Force (ave),32,14.60197842,15,,-14.60197842,-0.398021583,,-2.7,,-0.027
Delivery Force (ave),33,15.2096223,15,,-15.2096223,0.209622302,,1.4,,0.014
Delivery Force (end),1,9.1,5,,,4.1,,82,,0.82
Delivery Force (end),2,8.9,5,,,3.9,,78,,0.78
Delivery Force (end),3,8.775,5,,,3.775,,75.5,,0.755
Delivery Force (end),4,8.975,5,,,3.975,,79.5,,0.795
Delivery Force (end),5,9.125,5,,,4.125,,82.5,,0.825
Delivery Force (end),6,9,5,,,4,,80,,0.8
Delivery Force (end),7,8.825,5,,,3.825,,76.5,,0.765
Delivery Force (end),8,9,5,,,4,,80,,0.8
Delivery Force (end),9,9.2,5,,,4.2,,84,,0.84
Delivery Force (end),10,8.475,5,,,3.475,,69.5,,0.695
Delivery Force (end),11,9,5,,,4,,80,,0.8
Delivery Force (end),12,9.075,5,,,4.075,,81.5,,0.815
Delivery Force (end),13,9.175,5,,,4.175,,83.5,,0.835
Delivery Force (end),14,8.8,5,,,3.8,,76,,0.76
Delivery Force (end),15,8.675,5,,,3.675,,73.5,,0.735
Delivery Force (end),16,8.875,5,,,3.875,,77.5,,0.775
Delivery Force (end),17,8.825,5,,,3.825,,76.5,,0.765
Delivery Force (end),18,8.675,5,,,3.675,,73.5,,0.735
Delivery Force (end),19,9.05,5,,,4.05,,81,,0.81
Delivery Force (end),20,8.825,5,,,3.825,,76.5,,0.765
Delivery Force (end),21,0.025,5,,,-4.975,,-99.5,,-0.995
Delivery Force (end),22,8.5,5,,,3.5,,70,,0.7
Delivery Force (end),23,8.75,5,,,3.75,,75,,0.75
Delivery Force (end),24,8.9,5,,,3.9,,78,,0.78
Delivery Force (end),25,9.15,5,,,4.15,,83,,0.83
Delivery Force (end),26,0.175,5,,,-4.825,,-96.5,,-0.965
Delivery Force (end),27,8.575,5,,,3.575,,71.5,,0.715
Delivery Force (end),28,9.225,5,,,4.225,,84.5,,0.845
Delivery Force (end),29,9.05,5,,,4.05,,81,,0.81
Delivery Force (end),30,9.125,5,,,4.125,,82.5,,0.825
Delivery Force (end),31,9.075,5,,,4.075,,81.5,,0.815
Delivery Force (end),32,8.875,5,,,3.875,,77.5,,0.775
Delivery Force (end),33,9,5,,,4,,80,,0.8
Delivery Force (end),34,9.125,5,,,4.125,,82.5,,0.825
Delivery Force (end),35,9,5,,,4,,80,,0.8
